trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
320372:423271:430206,16:15:00,16:15:00,1121,1,0,,0,0,1
320372:423271:430206,16:15:00,16:15:00,1189,2,385,,0,0,0
320372:423271:430206,16:16:00,16:16:00,1190,3,576,,0,0,0
320372:423271:430206,16:16:00,16:16:00,1439,4,818,,0,0,0
320372:423271:430206,16:17:00,16:17:00,1206,5,1106,,0,0,0
320372:423271:430206,16:18:00,16:18:00,1194,6,1307,,0,0,0
320372:423271:430206,16:18:00,16:18:00,1195,7,1500,,0,0,0
320372:423271:430206,16:20:00,16:20:00,1207,8,1762,,0,0,1
320372:423271:430206,16:20:00,16:20:00,1208,9,2019,,0,0,0
320372:423271:430206,16:20:00,16:20:00,1209,10,2183,,0,0,0
320372:423271:430206,16:21:00,16:21:00,1864,11,2584,,0,0,0
320372:423271:430206,16:22:00,16:22:00,1865,12,2809,,0,0,0
320372:423271:430206,16:22:00,16:22:00,1866,13,3223,,0,0,0
320372:423271:430206,16:23:00,16:23:00,1220,14,3535,,0,0,0
320372:423271:430206,16:26:00,16:30:00,1222,15,4415,,0,0,1
320372:423271:430206,16:30:00,16:30:00,1223,16,4560,,0,0,0
320372:423271:430206,16:31:00,16:31:00,1224,17,5060,,0,0,0
320372:423271:430206,16:32:00,16:32:00,1867,18,5420,,0,0,0
320372:423271:430206,16:33:00,16:33:00,1226,19,5782,,0,0,0
320372:423271:430206,16:34:00,16:34:00,1227,20,6237,,0,0,0
320372:423271:430206,16:35:00,16:35:00,1228,21,6839,,0,0,0
320372:423271:430206,16:36:00,16:36:00,1229,22,7184,,0,0,0
320372:423271:430206,16:37:00,16:37:00,1230,23,7675,,0,0,0
320372:423271:430206,16:40:00,16:40:00,1231,24,8285,,0,0,1
320039:423272:426689,06:30:00,06:30:00,1231,1,0,,0,0,1
320039:423272:426689,06:31:00,06:31:00,1232,2,530,,0,0,0
320039:423272:426689,06:32:00,06:32:00,1703,3,1331,,0,0,0
320039:423272:426689,06:33:00,06:33:00,1570,4,1678,,0,0,0
320039:423272:426689,06:34:00,06:34:00,1571,5,2123,,0,0,0
