route_id,service_id,trip_id,trip_headsign,shape_id,block_id
2,995,320372:423271:428734,CROSSTOWN to Westfort,3597,428734
16,994,320039:423272:426689,BALMORAL to City Hall,3498,426689
3C,1004,318616:423277:428678,COUNTY PARK to Northwood,3576,428678
5,1003,319841:423278:428720,EDWARD to Westfort,3543,428720
14,995,320616:423282:428708,ARTHUR to Jumbo Gardens,3539,428708
14,996,322431:423283:428742,ARTHUR to Airport,3545,428742
7,996,322112:423287:428688,HUDSON to Waterfront,3582,428688
13,1004,318496:423289:428687,JOHN-JUMBO to Waterfront,3588,428687
2,996,322183:423291:428710,CROSSTOWN to Waterfront,3604,428710
8,996,322095:423295:428683,JAMES to City Hall via College,3569,428683
18,1003,320200:423297:428707,WESTFORT to City Hall,3546,428707
7,1003,319423:423300:428755,HUDSON to Waterfront,3582,428755
15,1003,319151:423303:428747,BEVERLY to University,3578,428747
16,994,320049:423309:426683,BALMORAL to College,3501,426683
10,996,322473:423310:428735,NORTHWOOD to College,3549,428735
2,1004,318834:423313:428701,CROSSTOWN to Westfort,3597,428701
10,995,320596:423314:428748,NORTHWOOD to College,3549,428748
10,1003,319692:423319:428676,NORTHWOOD to County Park,3544,428676
12,994,319984:423320:426683,EAST END,3579,426683
10,1004,318524:423321:428736,NORTHWOOD to County Park,3544,428736
18,995,321242:423322:428695,WESTFORT to Mary,3509,428695
12,994,320005:423325:426689,EAST END,3579,426689
14,1006,319943:423326:428751,ARTHUR to Airport,3545,428751
14,1007,319943:423326:428759,ARTHUR to Airport,3545,428759
5,1003,319817:423327:428720,EDWARD to Westfort,3543,428720
12,995,320493:423328:426663,EAST END,3579,426663
5,995,320709:423329:428721,EDWARD to Westfort,3543,428721
5,995,320708:423330:428733,EDWARD to Westfort,3543,428733
15,995,320319:423331:428715,BEVERLY to University,3608,428715
5,1003,319819:423333:428727,EDWARD to Westfort,3543,428727
15,1003,319117:423338:428747,BEVERLY to Intercity,3591,428747
10,996,322462:423339:428735,NORTHWOOD to County Park,3550,428735
15,1004,318466:423345:428672,BEVERLY to University,3608,428672
15,995,320316:423346:428685,BEVERLY to University,3608,428685
15,995,320311:423348:428685,BEVERLY to University,3608,428685
10,996,322480:423351:428717,NORTHWOOD to College,3549,428717
5,1003,319811:423352:428720,EDWARD to Westfort,3543,428720
13,996,322503:423354:428732,JOHN-JUMBO to Waterfront,3588,428732
1,995,320891:423356:428750,MAINLINE to Waterfront,3575,428750
14,996,322410:423357:428683,ARTHUR to City Hall,3541,428683
18,995,321255:423358:428673,WESTFORT to City Hall,3546,428673
10,1004,318554:423360:428746,NORTHWOOD to College,3549,428746
7,1004,318865:423362:428713,HUDSON to Waterfront,3582,428713
14,1003,319951:423363:428698,ARTHUR to City Hall,3541,428698
14,1003,319910:423364:428730,ARTHUR to Jumbo Gardens,3539,428730
7,995,320933:423367:428718,HUDSON to Waterfront,3582,428718
15,995,320296:423368:428685,BEVERLY to University,3578,428685
15,1004,318475:423369:428686,BEVERLY to University,3578,428686
14,1003,319934:423372:428722,ARTHUR to Airport,3545,428722
2,1003,319182:423373:428725,CROSSTOWN to Waterfront,3604,428725
14,1003,319920:423374:428730,ARTHUR to Jumbo Gardens,3539,428730
16,995,320541:423377:426619,BALMORAL to City Hall,3498,426619
8,996,322097:423380:428683,JAMES to City Hall,3540,428683
2,1003,319183:423383:428727,CROSSTOWN to Waterfront,3604,428727
7,1004,318861:423384:428713,HUDSON to Waterfront,3582,428713
8,1003,319256:423386:428691,JAMES to City Hall via College,3569,428691
10,996,322484:423387:428749,NORTHWOOD to College,3549,428749
14,996,322426:423389:428683,ARTHUR to City Hall,3541,428683
18,995,321239:423391:428695,WESTFORT to Mary,3509,428695
14,995,320634:423392:428714,ARTHUR to Airport,3545,428714
5,1003,319818:423395:428725,EDWARD to Westfort,3543,428725
10,1006,319728:423398:428680,NORTHWOOD to County Park,3544,428680
10,1007,319728:423398:428758,NORTHWOOD to County Park,3544,428758
5,1003,319809:423401:428725,EDWARD to Westfort,3543,428725
2,995,320350:423403:428721,CROSSTOWN to Waterfront,3604,428721
18,996,321985:423404:428754,WESTFORT to City Hall,3546,428754
10,1003,319712:423407:428723,NORTHWOOD to County Park,3544,428723
5,995,320735:423410:428734,EDWARD to Waterfront,3555,428734
5,995,320731:423411:428733,EDWARD to Westfort,3543,428733
2,996,322159:423413:428710,CROSSTOWN to Westfort,3597,428710
12,995,320477:423414:426663,EAST END,3579,426663
1,995,320896:423417:428673,MAINLINE to Waterfront,3575,428673
7,1004,318869:423418:428713,HUDSON to Waterfront,3582,428713
16,995,320525:423419:426663,BALMORAL to College,3501,426663
16,995,320513:423421:426619,BALMORAL to City Hall,3498,426619
14,995,320626:423423:428708,ARTHUR to City Hall,3541,428708
12,995,320487:423428:426663,EAST END,3579,426663
2,996,322173:423431:428710,CROSSTOWN to Waterfront,3604,428710
18,995,321265:423432:428695,WESTFORT to City Hall,3546,428695
5,1003,319812:423433:428725,EDWARD to Westfort,3543,428725
8,995,320431:423434:428719,JAMES to City Hall via College,3569,428719
5,996,322337:423435:428743,EDWARD to Westfort,3543,428743
2,1003,319177:423436:428727,CROSSTOWN to Waterfront,3604,428727
10,1004,318557:423440:428746,NORTHWOOD to College,3549,428746
7,1003,319479:423443:428755,HUDSON to Waterfront,3582,428755
14,1004,318582:423444:428706,ARTHUR to Airport,3545,428706
10,995,320570:423445:428731,NORTHWOOD to County Park,3544,428731
2,1003,319222:423457:428720,CROSSTOWN to Waterfront,3604,428720
18,995,321280:423458:428695,WESTFORT to City Hall,3546,428695
10,1006,319681:423460:428680,NORTHWOOD to County Park,3544,428680
10,1007,319681:423460:428758,NORTHWOOD to County Park,3544,428758
16,995,320500:423462:426663,BALMORAL to City Hall,3498,426663
1,995,320895:423466:428750,MAINLINE to Waterfront,3575,428750
5,1004,318646:423470:428703,EDWARD to Westfort,3543,428703
12,994,320003:423471:426689,EAST END,3579,426689
5,995,320717:423472:428733,EDWARD to Westfort,3543,428733
5,996,322341:423473:428743,EDWARD to Westfort,3543,428743
15,1003,319154:423475:428747,BEVERLY to University,3578,428747
7,1003,319461:423477:428693,HUDSON to Waterfront,3582,428693
2,996,322171:423480:428710,CROSSTOWN to Waterfront,3604,428710
18,995,321278:423488:428750,WESTFORT to City Hall,3546,428750
10,996,322463:423491:428717,NORTHWOOD to County Park,3550,428717
18,1003,320167:423494:428726,WESTFORT to Mary,3509,428726
2,996,322156:423498:428743,CROSSTOWN to Westfort,3597,428743
14,1003,319949:423502:428698,ARTHUR to Airport,3545,428698
14,995,320663:423504:428692,ARTHUR to City Hall,3541,428692
18,1004,319041:423514:428696,WESTFORT to City Hall,3546,428696
18,1003,320156:423516:428726,WESTFORT to Mary,3509,428726
10,995,320560:423518:428681,NORTHWOOD to County Park,3544,428681
16,994,320057:423520:426689,BALMORAL to College,3501,426689
13,995,320450:423524:428718,JOHN-JUMBO to Waterfront,3588,428718
2,996,322174:423526:428743,CROSSTOWN to Waterfront,3604,428743
3C,995,320853:423527:428708,COUNTY PARK to Castlegreen Dr,3605,428708
7,1003,319477:423530:428755,HUDSON to Waterfront,3582,428755
2,995,320354:423532:428734,CROSSTOWN to Westfort,3597,428734
7,1004,318864:423533:428687,HUDSON to Waterfront,3582,428687
18,995,321251:423535:428750,WESTFORT to Mary,3509,428750
10,995,320554:423537:428748,NORTHWOOD to County Park,3544,428748
16,994,320048:423540:426689,BALMORAL to College,3501,426689
14,1004,318577:423542:428745,ARTHUR to City Hall,3541,428745
15,995,320273:423546:428690,BEVERLY to Intercity,3591,428690
14,1004,318594:423549:428745,ARTHUR to Airport,3545,428745
10,1003,319727:423551:428705,NORTHWOOD to County Park,3544,428705
14,1003,319926:423553:428730,ARTHUR to Airport,3545,428730
14,995,320659:423554:428719,ARTHUR to Airport,3545,428719
14,1004,318572:423556:428706,ARTHUR to City Hall,3541,428706
7,996,322127:423558:428732,HUDSON to Waterfront,3582,428732
10,1003,319680:423560:428705,NORTHWOOD to County Park,3544,428705
14,1003,319969:423561:428738,ARTHUR to Airport,3545,428738
18,995,321279:423565:428695,WESTFORT to Mary,3509,428695
15,1004,318446:423572:428672,BEVERLY to Intercity,3591,428672
15,1004,318471:423574:428686,BEVERLY to University,3608,428686
10,996,322486:423578:428717,NORTHWOOD to College,3549,428717
10,995,320598:423587:428731,NORTHWOOD to College,3549,428731
12,994,319989:423588:426689,EAST END,3579,426689
2,1003,319203:423592:428727,CROSSTOWN to Waterfront,3604,428727
